name,jurusan
Universitas Negeri Surabaya (UNESA),"Pendidikan seni musik, Ilmu komunikasi, Sastra, Manajemen pendidikan, Sosiologi, Hukum, Ilmu politik, Bisnis digital, Sejarah, Desain grafis, DKV (Desain Komunikasi Visual), Pendidikan jasmani & olahraga, Kepelatihan olahraga, Pendidikan Sendratasik, Ilmu olahraga, Hubungan internasional, Administrasi perkantoran, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Pendidikan bahasa, Seni rupa murni, Seni musik, Manajemen, Akuntansi, Gizi, Psikologi, Administrasi publik, Biologi, Pendidikan biologi, Sains data, Teknik sipil, Teknik mesin, Sistem informasi, Tata rias, Tata boga, Tata busana, Manajemen Informatika, Kedokteran, Perencanaan wilayah kota, Aktuaria, Fisioterapi"
Universitas Jember (UNEJ),"Kesekretariatan, Sastra, Sosiologi, Hukum, Ekonomi pembangunan, Pariwisata, Sejarah, Hubungan internasional, Farmasi, Kedokteran, Teknologi pertanian, Kesehatan Masyarakat, Ilmu komputer, Agroteknologi, Pertanian, Agribisnis, Peternakan, Perencanaan keuangan, Akuntansi, Manajemen, Ekonomi syariah, Televisi dan Film, Gizi, Teknik mesin, Teknik sipil, Perencanaan wilayah kota, Teknik lingkungan, Biologi, Administrasi publik, Pendidikan bahasa, Geografi, Sistem informasi"
Universitas Islam Negeri Sunan Gunung Djati (UIN SGD) Bandung,"Ilmu komunikasi, Sosiologi, Manajemen pendidikan, Filsafat, Hukum, Sejarah, Ilmu perpustakaan, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Studi agama-agama, Tasawuf Psikoterapi, Pendidikan bahasa, Pendidikan biologi, Sastra, Psikologi, Biologi, Agroteknologi, Administrasi publik, Ilmu politik, Akuntansi, Ekonomi syariah, Perencanaan keuangan, Manajemen"
Universitas Islam Negeri Wali Songo (UIN WS) Semarang,"Sosiologi, Manajemen pendidikan, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Hukum, Pendidikan bahasa, Tasawuf Psikoterapi, Studi agama-agama, Arsitektur, Akuntansi, Manajemen, Ekonomi syariah, Ilmu politik, Psikologi, Gizi, Biologi, Pendidikan biologi, Teknik lingkungan, Ilmu komunikasi"
Universitas Islam Negeri Sunan Kalijaga (UINSUKA) Yogyakarta,"Ilmu komunikasi, Sosiologi, Manajemen pendidikan, Filsafat, Hukum, Sejarah, Ilmu perpustakaan, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Sastra, Pendidikan bahasa, Pendidikan biologi, Studi agama-agama, Biologi, Teknik industri, Arsitektur, Psikologi, Ekonomi syariah, Perencanaan keuangan, Akuntansi"
Universitas Islam Negeri Maulana Malik Ibrahim (UINMA) Malang,"Manajemen pendidikan, Hukum, Ilmu perpustakaan, PAI (Pendidikan Agama Islam), Pendidikan bahasa, Sastra, Psikologi, Manajemen, Akuntansi, Biologi, Arsitektur, Kedokteran, Farmasi"
Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta,"Sosiologi, Manajemen pendidikan, Filsafat, Hukum, Ilmu politik, Ekonomi pembangunan, Sejarah, Ilmu perpustakaan, Hubungan internasional, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Pendidikan bahasa, Pendidikan biologi, Sastra, Studi agama-agama, Ilmu komunikasi, Psikologi, Manajemen, Akuntansi, Ekonomi syariah, Agribisnis, Sistem informasi, Biologi, Kesehatan Masyarakat, Farmasi, Kedokteran"
Universitas Islam Negeri Sunan Ampel Surabaya (UINSA),"Ilmu komunikasi, Sosiologi, Manajemen pendidikan, Filsafat, Hukum, Sejarah, Hubungan internasional, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Sastra, Pendidikan bahasa, Studi agama-agama, Tasawuf Psikoterapi, Akuntansi, Ekonomi syariah, Manajemen, Arsitektur, Biologi, Ilmu kelautan, Sistem informasi, Teknik lingkungan, Teknik sipil, Ilmu politik, Gizi, Psikologi, Kedokteran"
Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung (UINSATU),"Filsafat, Hukum, Sejarah, Ilmu perpustakaan, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Manajemen pendidikan, Pendidikan biologi, Pendidikan bahasa, Sosiologi, Tasawuf Psikoterapi, Psikologi, Sastra, Ilmu komunikasi, Ekonomi syariah, Perencanaan keuangan, Pariwisata"
Universitas Islam Negeri (UIN) Salatiga,"Bisnis digital, Sejarah, Ilmu perpustakaan, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Ilmu komunikasi, Psikologi, Akuntansi, Ekonomi syariah, Hukum, Pendidikan bahasa, Sains data, Filsafat, Sastra"
Universitas Islam Negeri Raden Mas Said Surakarta,"Sejarah, BK (Bimbingan Konseling), PAI (Pendidikan Agama Islam), Sastra, Pendidikan bahasa, Ilmu perpustakaan, Akuntansi, Ekonomi syariah, Filsafat, Ilmu komunikasi, Psikologi, Tasawuf Psikoterapi, Hukum, Manajemen pendidikan, Pendidikan biologi, Ilmu lingkungan, Sains data"
Universitas Negeri Yogyakarta (UNY),"Pendidikan seni musik, Sosiologi, Manajemen pendidikan, Filsafat, Hukum, Ilmu politik, Sejarah, Pendidikan jasmani & olahraga, Kepelatihan olahraga, Ilmu olahraga, Administrasi perkantoran, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Psikologi, Pendidikan bahasa, Sastra, Seni Kriya, Tari, Pendidikan biologi, Biologi, Statistika, Geografi, Administrasi publik, Ilmu komunikasi, Pariwisata, Teknik mesin, Teknik sipil, Tata boga, Tata busana, Teknik industri, Arsitektur, Manajemen, Akuntansi, Kedokteran"
Universitas Pembangunan Nasional (UPN) Veteran Jawa Timur,"Hukum, Bisnis digital, Ekonomi pembangunan, Pariwisata, DKV (Desain Komunikasi Visual), Hubungan internasional, Kedokteran, Manajemen, Akuntansi, Teknik industri, Teknik sipil, Teknik lingkungan, Teknik mesin, Sistem informasi, Sains data, Ilmu komunikasi, Arsitektur, Desain interior, Agroteknologi, Agribisnis, Kewirausahaan"
Universitas Pembangunan Nasional (UPN) Veteran Yogyakarta,"Ilmu komunikasi, Ekonomi pembangunan, Hubungan internasional, Akuntansi, Agribisnis, Agroteknologi, Sistem informasi, Teknik industri, Teknik geomatika, Teknik lingkungan"
Universitas Pembangunan Nasional (UPN) Veteran Jakarta,"Ilmu komunikasi, Ilmu politik, Ekonomi pembangunan, Hubungan internasional, Akuntansi, Manajemen, Ekonomi syariah, Kedokteran, Farmasi, Teknik mesin, Teknik industri, Sains data, Televisi dan Film, Sistem informasi, Hukum, Fisioterapi, Kesehatan Masyarakat, Gizi"
Universitas Pendidikan Indonesia (UPI),"Pendidikan seni musik, Ilmu komunikasi, Sastra, Bisnis digital, Sejarah, DKV (Desain Komunikasi Visual), Pendidikan jasmani & olahraga, Kepelatihan olahraga, Pendidikan Sendratasik, Ilmu olahraga, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), Manajemen pendidikan, Ilmu perpustakaan, Psikologi, PAI (Pendidikan Agama Islam), Manajemen Industri Katering, Pariwisata, Geografi, Sosiologi, Hukum, Pendidikan bahasa, Biologi, Ilmu komputer, Pendidikan biologi, Gizi, Arsitektur, Tata boga, Tata busana, Teknik mesin, Teknik sipil, Akuntansi, Televisi dan Film, Seni musik, Tari, Kedokteran, Desain produk, Kewirausahaan"
Universitas Padjajaran (UNPAD),"Produksi media, Ilmu komunikasi, Sastra, Sosiologi, Hukum, Ilmu politik, Bisnis digital, Antropologi, Pariwisata, Sejarah, Ilmu perpustakaan, Hubungan internasional, Akuntansi, Manajemen, Kedokteran, Biologi, Statistika, Aktuaria, Agroteknologi, Agribisnis, Teknologi pertanian, Geologi, Peternakan, Farmasi, Psikologi, Ilmu kelautan, Televisi dan Film, Kearsipan, Administrasi publik"
Universitas Trunojoyo Madura (UTM),"Sosiologi, Hukum, PGSD (Pendidikan Guru Sekolah Dasar), Manajemen, Akuntansi, Ekonomi pembangunan, Agroteknologi, Agribisnis, Teknologi pertanian, Ilmu kelautan, Manajemen SDA (Sumber Daya Alam), Teknik industri, Sistem informasi, Teknik mesin, Ilmu komunikasi, Sastra, Psikologi, Pendidikan bahasa, Ekonomi syariah"
Universitas Jenderal Soedirman (UNSOED),"Sastra, Sosiologi, Ilmu politik, Ekonomi pembangunan, Pendidikan jasmani & olahraga, Hubungan internasional, Administrasi perkantoran, Agribisnis, Biologi, Manajemen, Akuntansi, Hukum, Agroteknologi, Peternakan, Administrasi publik, Ilmu komunikasi, Teknik sipil, Teknik industri, Teknik mesin, Pendidikan bahasa, Statistika, Manajemen SDA (Sumber Daya Alam), Ilmu kelautan, Kedokteran, Kesehatan Masyarakat, Gizi, Farmasi, Teknologi pertanian"
Universitas Negeri Jakarta (UNJ),"Pendidikan seni musik, Ilmu komunikasi, Sastra, Sosiologi, Manajemen pendidikan, Bisnis digital, Pariwisata, Sejarah, Ilmu perpustakaan, Pendidikan jasmani & olahraga, Kepelatihan olahraga, Pendidikan Sendratasik, Ilmu olahraga, Administrasi perkantoran, BK (Bimbingan Konseling), PGSD (Pendidikan Guru Sekolah Dasar), PAI (Pendidikan Agama Islam), Pendidikan bahasa, Tari, Biologi, Ilmu komputer, Pendidikan biologi, Statistika, Geografi, Tata rias, Tata busana, Tata boga, Teknik mesin, Sistem informasi, Akuntansi, Manajemen, Psikologi, Kesehatan dan Keselamatan Kerja"
Universitas Hasanuddin (UNHAS),"Hubungan internasional, Ekonomi pembangunan, Manajemen, Akuntansi, Administrasi publik, Ilmu politik, Sosiologi, Ilmu komunikasi, Antropologi, Peternakan, Kehutanan, Hukum, Kedokteran, Psikologi, Teknik mesin, Teknik sipil, Arsitektur, Teknik lingkungan, Teknik industri, Perencanaan wilayah kota, Sastra, Arkeologi, Teknologi pertanian, Agroteknologi, Biologi, Statistika, Sistem informasi, Aktuaria, Kesehatan Masyarakat, Gizi, Ilmu kelautan, Manajemen SDA (Sumber Daya Alam), Farmasi, Fisioterapi, Pariwisata, Agribisnis"
Universitas Sumatera Utara (USU),"Etnomusikologi, Ilmu komunikasi, Kesekretariatan, Sastra, Sosiologi, Hukum, Ilmu politik, Ekonomi pembangunan, Antropologi, Sejarah, Ilmu perpustakaan, Administrasi perkantoran, Administrasi publik, Kedokteran, Akuntansi, Pariwisata, Statistika, Agroteknologi, Agribisnis, Peternakan, Teknologi pertanian, Manajemen SDA (Sumber Daya Alam), Ilmu komputer, Manajemen, Kehutanan, Psikologi, Teknik sipil, Teknik lingkungan, Teknik mesin, Teknik industri, Arsitektur, Kesehatan Masyarakat, Gizi, Biologi, Farmasi, Kewirausahaan"
Universitas Udayana (UNUD),"Ilmu komunikasi, Sastra, Sosiologi, Hukum, Ilmu politik, Ekonomi pembangunan, Antropologi, Arkeologi, Pariwisata, Sejarah, Hubungan internasional, Fisioterapi, Kesehatan Masyarakat, Psikologi, Kedokteran, Teknik mesin, Teknik sipil, Agribisnis, Agroteknologi, Akuntansi, Manajemen, Peternakan, Biologi, Farmasi, Ilmu komputer, Teknologi pertanian, Ilmu perpustakaan, Ilmu kelautan, Manajemen SDA (Sumber Daya Alam)"
